date,value,indicator_name
1947-01-01,2182.681,gdp_real
1947-04-01,2176.892,gdp_real
1947-07-01,2172.432,gdp_real
1947-10-01,2206.452,gdp_real
1948-01-01,2239.682,gdp_real
1948-04-01,2276.69,gdp_real
1948-07-01,2289.77,gdp_real
1948-10-01,2292.364,gdp_real
1949-01-01,2260.807,gdp_real
1949-04-01,2253.128,gdp_real
1949-07-01,2276.424,gdp_real
1949-10-01,2257.352,gdp_real
1950-01-01,2346.104,gdp_real
1950-04-01,2417.682,gdp_real
1950-07-01,2511.127,gdp_real
1950-10-01,2559.214,gdp_real
1951-01-01,2593.967,gdp_real
1951-04-01,2638.898,gdp_real
1951-07-01,2693.259,gdp_real
1951-10-01,2699.156,gdp_real
1952-01-01,2727.954,gdp_real
1952-04-01,2733.8,gdp_real
1952-07-01,2753.517,gdp_real
1952-10-01,2843.941,gdp_real
1953-01-01,2896.811,gdp_real
1953-04-01,2919.206,gdp_real
1953-07-01,2902.785,gdp_real
1953-10-01,2858.845,gdp_real
1954-01-01,2845.192,gdp_real
1954-04-01,2848.305,gdp_real
1954-07-01,2880.482,gdp_real
1954-10-01,2936.852,gdp_real
1955-01-01,3020.746,gdp_real
1955-04-01,3069.91,gdp_real
1955-07-01,3111.379,gdp_real
1955-10-01,3130.068,gdp_real
1956-01-01,3117.922,gdp_real
1956-04-01,3143.694,gdp_real
1956-07-01,3140.874,gdp_real
1956-10-01,3192.57,gdp_real
1957-01-01,3213.011,gdp_real
1957-04-01,3205.97,gdp_real
1957-07-01,3237.386,gdp_real
1957-10-01,3203.894,gdp_real
1958-01-01,3120.724,gdp_real
1958-04-01,3141.224,gdp_real
1958-07-01,3213.884,gdp_real
1958-10-01,3289.032,gdp_real
1959-01-01,3352.129,gdp_real
1959-04-01,3427.667,gdp_real
1959-07-01,3430.057,gdp_real
1959-10-01,3439.832,gdp_real
1960-01-01,3517.181,gdp_real
1960-04-01,3498.246,gdp_real
1960-07-01,3515.385,gdp_real
1960-10-01,3470.278,gdp_real
1961-01-01,3493.703,gdp_real
1961-04-01,3553.021,gdp_real
1961-07-01,3621.252,gdp_real
1961-10-01,3692.289,gdp_real
1962-01-01,3758.147,gdp_real
1962-04-01,3792.149,gdp_real
1962-07-01,3838.776,gdp_real
1962-10-01,3851.421,gdp_real
1963-01-01,3893.482,gdp_real
1963-04-01,3937.183,gdp_real
1963-07-01,4023.755,gdp_real
1963-10-01,4050.147,gdp_real
1964-01-01,4135.553,gdp_real
1964-04-01,4180.592,gdp_real
1964-07-01,4245.918,gdp_real
1964-10-01,4259.046,gdp_real
1965-01-01,4362.111,gdp_real
1965-04-01,4417.225,gdp_real
1965-07-01,4515.427,gdp_real
1965-10-01,4619.458,gdp_real
1966-01-01,4731.888,gdp_real
1966-04-01,4748.046,gdp_real
1966-07-01,4788.254,gdp_real
1966-10-01,4827.537,gdp_real
1967-01-01,4870.299,gdp_real
1967-04-01,4873.287,gdp_real
1967-07-01,4919.392,gdp_real
1967-10-01,4956.477,gdp_real
1968-01-01,5057.553,gdp_real
1968-04-01,5142.033,gdp_real
1968-07-01,5181.859,gdp_real
1968-10-01,5202.212,gdp_real
1969-01-01,5283.597,gdp_real
1969-04-01,5299.625,gdp_real
1969-07-01,5334.6,gdp_real
1969-10-01,5308.556,gdp_real
1970-01-01,5300.652,gdp_real
1970-04-01,5308.164,gdp_real
1970-07-01,5357.077,gdp_real
1970-10-01,5299.672,gdp_real
1971-01-01,5443.619,gdp_real
1971-04-01,5473.059,gdp_real
1971-07-01,5518.072,gdp_real
1971-10-01,5531.032,gdp_real
1972-01-01,5632.649,gdp_real
1972-04-01,5760.47,gdp_real
1972-07-01,5814.854,gdp_real
1972-10-01,5912.22,gdp_real
1973-01-01,6058.544,gdp_real
1973-04-01,6124.506,gdp_real
1973-07-01,6092.301,gdp_real
1973-10-01,6150.131,gdp_real
1974-01-01,6097.258,gdp_real
1974-04-01,6111.751,gdp_real
1974-07-01,6053.978,gdp_real
